,Closest City,Country code,Lat,Lng,Temperature,Wind speed,Humidity,Cloudiness,Date
0,cidreira,BR,-30.17,-50.22,62.32,6.29,92.0,0.0,1520589019
2,hobart,AU,-42.88,147.33,62.6,9.17,77.0,75.0,1520587800
3,pevek,RU,69.7,170.27,-8.47,29.1,98.0,44.0,1520589043
4,kodinar,IN,20.79,70.7,95.39,5.95,26.0,0.0,1520589075
5,port alfred,ZA,-33.59,26.89,67.76,8.75,87.0,0.0,1520589079
6,ushuaia,AR,-54.81,-68.31,39.2,4.7,80.0,0.0,1520586000
7,mataura,PF,-46.19,168.86,48.14,12.88,68.0,0.0,1520589088
8,rikitea,PF,-23.12,-134.97,81.44,20.71,97.0,88.0,1520589088
9,tocopilla,CL,-22.09,-70.2,56.06,4.27,100.0,20.0,1520589090
10,bethel,US,60.79,-161.76,19.4,12.75,92.0,90.0,1520587020
11,hithadhoo,MV,-0.6,73.08,84.14,15.01,100.0,20.0,1520589108
12,aykhal,RU,65.95,111.51,1.75,8.52,65.0,44.0,1520589043
13,safakulevo,RU,54.99,62.54,14.03,7.74,90.0,0.0,1520589044
14,cap malheureux,MU,-19.98,57.61,84.2,11.41,66.0,75.0,1520586000
15,atuona,PF,-9.8,-139.03,81.4,21.83,100.0,88.0,1520589089
16,mahebourg,MU,-20.41,57.7,84.2,11.41,66.0,75.0,1520586000
17,kununurra,AU,-15.77,128.74,93.2,4.7,49.0,0.0,1520586000
18,saint-philippe,RE,45.36,-73.48,28.4,4.7,92.0,90.0,1520587500
22,adigeni,GE,41.67,42.71,53.6,19.46,87.0,90.0,1520586000
23,provideniya,RU,64.42,-173.23,6.38,23.73,100.0,76.0,1520589044
25,norman wells,CA,65.28,-126.83,-14.81,4.38,75.0,5.0,1520586000
27,qaanaaq,GL,77.48,-69.36,-15.54,2.82,91.0,44.0,1520589126
28,aklavik,CA,68.22,-135.01,5.0,11.41,65.0,5.0,1520586000
29,gat,LY,14.69,-16.54,77.0,7.18,57.0,0.0,1520586000
30,chuy,UY,-33.69,-53.46,56.33,4.27,96.0,0.0,1520589131
31,vaini,TO,15.34,74.49,92.69,2.82,34.0,0.0,1520589131
32,karratha,AU,-20.74,116.85,104.21,4.16,9.0,0.0,1520589033
33,bredasdorp,ZA,-34.53,20.04,75.2,2.24,41.0,68.0,1520586000
34,ishnya,RU,57.19,39.36,16.78,7.74,86.0,36.0,1520589044
35,bayir,JO,37.27,28.22,64.4,4.7,59.0,40.0,1520587200
36,tura,RU,25.52,90.21,81.04,3.38,54.0,0.0,1520589045
37,busselton,AU,-33.64,115.35,71.68,23.51,94.0,8.0,1520589033
38,panalingaan,PH,8.78,117.42,81.85,9.98,84.0,44.0,1520589132
41,auki,SB,12.18,6.51,89.36,6.4,29.0,20.0,1520589136
42,umm lajj,SA,25.02,37.27,88.42,4.16,48.0,0.0,1520589137
44,tiksi,RU,71.64,128.87,-28.32,3.27,45.0,0.0,1520589045
47,touros,BR,-5.2,-35.46,77.66,7.18,93.0,0.0,1520589019
49,bonnyville,CA,54.27,-110.74,15.8,10.29,78.0,90.0,1520586000
50,fortuna,US,38.18,-1.13,64.4,1.12,59.0,0.0,1520587800
52,viedma,AR,-40.81,-62.99,72.67,10.2,42.0,0.0,1520589086
53,shingu,JP,33.72,135.99,42.8,26.4,60.0,40.0,1520586000
55,ponta do sol,CV,-20.63,-46.0,67.31,3.38,98.0,92.0,1520589144
57,new norfolk,AU,-42.78,147.06,62.6,9.17,77.0,75.0,1520587800
59,east london,ZA,-33.02,27.91,71.6,16.11,56.0,20.0,1520586000
62,yellowknife,CA,62.45,-114.38,-0.41,6.93,77.0,20.0,1520586000
63,san patricio,MX,-26.98,-56.83,61.19,2.15,83.0,0.0,1520589145
64,port-gentil,GA,-0.72,8.78,86.0,8.05,74.0,40.0,1520586000
66,suez,EG,29.97,32.54,72.49,4.05,35.0,8.0,1520589160
67,punta arenas,CL,-53.16,-70.91,37.4,6.93,100.0,0.0,1520586000
68,puerto ayora,EC,-0.74,-90.35,75.55,5.17,100.0,0.0,1520589161
70,coquimbo,CL,-29.95,-71.34,57.2,3.36,87.0,20.0,1520586000
72,jamestown,SH,-33.21,138.6,78.07,10.54,37.0,0.0,1520589162
73,mandalgovi,MN,45.76,106.27,39.64,10.42,76.0,0.0,1520589163
74,arman,RU,59.7,150.17,-11.31,2.59,73.0,24.0,1520589046
77,klaksvik,FO,62.23,-6.59,37.4,6.93,86.0,88.0,1520587200
78,cockburn town,TC,21.46,-71.14,75.37,1.48,100.0,0.0,1520589165
79,khatanga,RU,71.98,102.47,-9.91,6.29,69.0,64.0,1520589046
80,saskylakh,RU,71.97,114.09,-13.29,14.23,41.0,64.0,1520589047
81,aksarka,RU,66.56,67.8,-2.22,4.27,72.0,32.0,1520589047
82,college,US,64.86,-147.8,19.4,4.7,79.0,90.0,1520585880
84,ilinskiy,RU,55.62,38.12,24.8,11.18,57.0,0.0,1520586000
85,kaitangata,NZ,-46.28,169.85,46.84,9.31,76.0,0.0,1520589166
88,kodiak,US,39.95,-94.76,30.2,4.7,63.0,1.0,1520585580
90,port elizabeth,ZA,39.31,-74.98,33.8,9.17,63.0,90.0,1520585760
